CONTENT,CLASS
"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",0
"Hey, it&#39;s Charlie from Lost﻿",0
watch this with sound off!﻿,0
super﻿,0
I could finally do the spongebob but I started yesterday XD﻿,0
you cant stop the shuffle﻿,0
"THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS  WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/﻿",1
Your the best♣♥﻿,0
"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",0
"LMFAO - Party Rock Anthem ft. Lauren Bennett, Goo…: <a href=""https://youtu.be/KQ6zr6kCPj8"">https://youtu.be/KQ6zr6kCPj8</a>     <br />BOX MAN GOT SOME MOVES! :D HE MAKES MEH SMILE﻿",0
EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!﻿,1
"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",0
Still a very fun music video to watch! ﻿,0
best song eva,0
"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿",0
Check out this video on YouTube:الإعلانات<br /><br /><br /><br /><br /><br />لل﻿,1
I always have goose bumps at that part,0
I lovee it ♥﻿,0
Check out this video on YouTube:﻿,1
still.. this reminds me of 1 years back when i was do shuffle everyday﻿,0
i like it :)﻿,0
Eminem and Rihanna sing the song very well.﻿,0
"Shakira you are so beautiful. You are lovely, lively.. We love you.﻿",0
SERIOUSLY HOW DID THEY COME UP WITH THAT BEAT IT IS INSANELY GOOD HOLY FUCK﻿,0
Hello I&#39;m from Bulgaria﻿,0
Shuffle﻿,0
awesome song ever﻿,0
Nice﻿,0
This awesome song needed 4 years to reach to 800 mil views while Tango Switch bitch needed 1 year. its not fairrrrrrr﻿,0
Nice song ^_^,0
Shakira :-*,0
Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,1
I love this song so much﻿,0
This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿,0
ILOVETHISSONG﻿,0
Shakira is perfect,0
I cried this song bringing back some hard memories﻿,0
Awsome<br />﻿,0
So he&#39;s admitting he killed his girlfriend???﻿,0
i totally love this song. absolutely fantastic! i love ya shakira!﻿,0
just checking the views﻿,0
"Part 5. Comforter of the afflicted, pray for us Help of Christians, pray for us Queen of Angels, pray for us Queen of Patriarchs, pray for us Queen of Prophets, pray for us Queen of Apostles, pray for us Queen of Martyrs, pray for us Queen of Confessors, pray for us Queen of Virgins, pray for us Queen of all Saints, pray for us Queen conceived without original sin, pray for us Queen of the most holy Rosary, pray for us Queen of the family, pray for us Queen of peace, pray for us ",1
super music﻿,0
This song makes me want to drink bleach﻿,0
5 years and i still dont get the music video help someone?﻿,0
It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0
Best song ever ﻿,0
I remember when this used to be so popular all around at the time.<br />I still love it.﻿,0
Check out this video on YouTube:﻿,1
"This song is just insane.<br />Do you dance listening to this song?( i do, lol)﻿",0
Sick Music for sick females﻿,0
"Charlie, heroin will do that to you.﻿",0
Check out this video on YouTube:﻿,1
Katy Perry's songs are the best of the songs of women artists.﻿,0
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1
Hello from Russia comes to the channel subscribe﻿,1
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1
I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,0
the most viewed youtube video of all time?﻿,0
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1
God she is so hot,0
why tiger succumbs to a beautiful girl ?.probably male tiger.....????   ha.ha.ha..﻿,0
2 Billions in 2014,0
nice song﻿,0
8 million likes xD even the subscribers not 8 million xD﻿,0
Very Nice !!!<br />Yeah Fucking.﻿,0
Imagine this in the news crazy woman found acting like a tiger and bit jims  ear off﻿,0
Way was their a guy warring a robot head.﻿,0
this song never get's old &lt;3 ﻿,0
"https://apps.facebook.com/my-polls/utsitcompetition2014?from=user_link&amp;ref_id=ouxg5e .  Please open this link and vote for  anand niketan international school, the  project name is project Fr-e-dom and share it with  yours friend.﻿",1
"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",0
"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!﻿",0
"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿",0
how is this shit still relevant ﻿,0
This video is so racist!!! There are only animals.﻿,0
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.﻿",0
"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1
I think this is now a place to promote channels in the comment section lol.﻿,0
i&#39;m watching this on summer 2015﻿,0
The first comment is chuck norrus ovbiously :D﻿,0
Made in china....﻿,0
one of the BEST SONGS in music history﻿,0
"blue eyes, can't be trusted.  uranus bless america.﻿",0
Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,0
Admit it you just came here to check the number of viewers ﻿,0
Rihanna is absolutely gorgeous in this video.﻿,0
she is horrible at acting. cringe-worhty.﻿,0
"http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&amp;CREA=RAW&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing rewards, earn free money. AND NO U CANT GET UR VIRUS IN BLUE!﻿",1
psy=korean﻿,0
I love it and my mom to﻿,0
some classsic :))))﻿,0
like if ur watchin in 90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                              1﻿,1
Nice song﻿,0
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
Good song:-)﻿,0
VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1﻿,1
I don't now why I'm watching this in 2014﻿,0
"Don&#39;t love someone soo much, love the way u lie..﻿",0
"Shuffling all the way with LMFAO! I like this one, wish I could shuffle like these crazy dudes﻿",0
LMFAO best songs ever!﻿,0
Waka waka !!!﻿,0
this is increidebl﻿,0
I am going to blow my mind﻿,0
Check out this video on YouTube:﻿,1
First they were fighting... Then they were making out...﻿,0
I love her green eyes﻿,0
WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,0
eminem is a ginius stop!﻿,0
Shakira is very beautiful,0
Awesome﻿,0
So underrated better<br />Than  Katy perry :/ but in not saying Katy is bad but she has no meaning to her songs. Shakira has<br />Meaningful songs these are the songs which bring memories and vibe&#39;s. I will miss it.   <br />   ﻿,0
love the you lie the good﻿,0
every bady yust have a good time﻿,0
"cool song check out my animal trafficking petition.<br /><a href=""http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick"">http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick</a>﻿",1
If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,1
Me and my big sister like you﻿,0
Love the video ﻿,0
"super nice, love musique﻿",0
NOKIA spotted﻿,0
I love dis song!! 3,0
I like it<br />﻿,0
"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
love!!!!﻿,0
That's Good :)﻿,0
How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,0
Loool nice song funny how no one understands (me) and we love it﻿,0
5 years later i still love this song <br />~Axy665﻿,0
857.482.940 views AWESOME !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
best song ever (y)﻿,0
I like shakira..﻿,0
"NEW GOAL!   3,000,000!  Let's go for it!﻿",0
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1
"""eye of the tiger"" ""i am the champion"" seems like katy perry is using  titles of old rock songs for lyrics..﻿",0
Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿,0
Katy has a voice of an Angel﻿,0
"#nowplaying ""Weekendmix"" track 04 : Katy Perry - Roar (DJ Denis Shmelev &amp; DJ Alex Serov Remix) http://youtu.be/CevxZvSJLk8   Listen live at: www.smartfm.nl/livestream.html﻿",1
Is that tiger called 'Katty Purry'?﻿,0
https://www.paidverts.com/ref/tomuciux99 esyest money ever. join to our  team!!!!﻿,1
I love this song up to the moon &gt;3 you are Rocks!﻿,0
so many comments.﻿,0
Remove This video its wank﻿,0
This Song is AWESOME!!!!﻿,0
Love this song makes me wanna dance! ﻿,0
3:46 so cute!﻿,0
Lol I love this song﻿,0
BEAUTIFUL,0
....I stil lisening this :)﻿,0
2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,0
Katy has conqueror's haki &gt;:)﻿,0
"Rihana, Love Me. :(﻿",0
Wow she is sexy XD﻿,0
cool﻿,0
"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1
;-)﻿,0
Party time!﻿,0
"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0
"Nature is beautiful, no need to place tits in video to impress people.﻿",0
Is that Megan Fox?﻿,0
Why does a song like this have more views than Michael Jackson SMH﻿,0
&lt;3 this song so much.SHAKIRA YOUR A REALLY GOOD ARTIST.﻿,0
I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,0
just came to check the view count﻿,0
I love song ﻿,0
 I love your music ﻿,0
Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0
Check out this playlist on YouTube:י<br /><br /><br /><br />⛺🏤⛺⛺﻿,1
Great song﻿,0
NICE :3﻿,0
You gonna hear me ROARRRR.....﻿,0
"I like so much this music,  good ﻿",0
EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1
I love music﻿,0
prehistoric song..has been﻿,0
just for test I have to say murdev.com,1
"see it all, human folly right?﻿",0
Check out this video on YouTube:﻿,1
http://9gag.com/gag/aAVpwj9/ =)﻿,1
"This song is like an oreo, the black part is good but the white part is better﻿",0
She's an old Whore!﻿,0
Love it!!!!!!!!!!!!!!!!💜﻿,0
I like the Mmph version better﻿,0
Check out this video on YouTube:﻿,1
Check out this playlist on YouTube:﻿,1
And somehow she has access to makeup in the middle of the woods...﻿,0
How can this song have 629 million views while there are only 7 million  people in the world?﻿,0
YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,0
"And after the video ends, a 13 ft. boa constrictor squeezes her to death.﻿",0
i love Rihanna 😍😍😍😍[♧from Thailand♧]﻿,0
2:05. Hahahahah ﻿,0
Oh my god go to 1 billion of replay i love shakira﻿,0
JUST DANCE 3 😂😂😂﻿,0
Really good song .<br />you know love song song.﻿,0
Who else would give Katy perry a good old mighty roar? ;)﻿,0
"Check out Melbourne shuffle, everybody!﻿",1
Subscribe to my channel !﻿,1
just came here to check the views :P﻿,0
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
This makes me miss the world cup,0
"I fuckin love this song!<br /><br /><br />After, I&#39;m sexy and I know it ﻿",0
Check out this video on YouTube:﻿,1
Party in da 🏠 tonight 👐👐👐👐👐👐﻿,0
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />NOW THAT I HAVE YOUR ATTENTION!!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨SUBSCRIBE TO MY CHANNEL!!!<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />GRACIAS!💋<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨﻿,1
im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,1
Im just to check how much views it has﻿,0
"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
Dang Dat little kid gat moves﻿,0
"What the hell this song is already five years old?? I remember when it first came out, this was my jam﻿",0
Can you check my videos please? Don't hate me :( Give me one oportunity﻿,1
My friend Sam loves this song😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊﻿,0
Check out this video on YouTube:﻿,1
PSY is a good guy﻿,0
Wow 23 min ago﻿,0
Wow...5 years<br />﻿,0
Like﻿,0
"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",0
"1,000,000 VIEWS NEAR﻿",0
More views than nikki minaj Anaconda﻿,0
▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,0
"I started hating Katy Perry after finding out that she stole all of the  ideas on her videos  from an old comic book. Yet, her music is catchy. ﻿",0
This song never gets old love it.﻿,0
She's awesome XD﻿,0
My 6th grade teacher looked exactly like Katy Perry come to think of it...﻿,0
Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,0
great song you go katy!﻿,0
I like This Comment and do not kill :P﻿,1
:),0
I like,0
❤❤❤❤❤❤❤﻿,0
That was very good I mean very very much good ﻿,0
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,1
We can have a party next share﻿,1
OMG LISTEN TO THIS ITS SOO GOOD!! :D﻿,0
Best song ever﻿,0
It's been back for quite a while now.,0
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1
CUTE  :)﻿,0
What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,1
I love this song so much &lt;3<br />Keep em&#39; coming!﻿,0
WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,1
Shakira I love you,0
that time in 2011 where this shirt was cool﻿,0
"HONESTLY, I WANNA SEE YOU BE BRAVE! oh wait...﻿",0
WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿,0
imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,0
still watching in 2015...﻿,0
"Damn, this was everywhere﻿",0
Honestly speaking except taylor swift and adele i don't lile any of the  modern day singers. But i must say whenever i hear this song i feel  goosebumps. Its quite inspiring!! Thanks miss Perry!﻿,0
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1
Shakira :-*,0
the best!,0
LIKE AND SUBSCRIB IF YOU WATCH IN 2015 ;)﻿,1
 are  there  people who like  this shit? hahahahah :P<br />this isn&#39;t even real music.......... it&#39;s computer-based music.....<br />well done music industry.....﻿,0
Check out this video on YouTube:﻿,1
Pleas subscribe my channel GamezZMTA﻿,1
Still the best. :D﻿,0
Every single one of his songs brings me back to place I can never go back to and it hurts so bad inside﻿,0
Shakira voice sound spanish but that is what make the music sound amazing ♥I LOVE IT,0
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1
2008-2010 were the years for pop﻿,0
"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",1
everyday I&#39;m shufflin﻿,0
I WILL FINISH THIS DISSERTATION! And I will laugh in its face when I  finish! Roaaarrr =3﻿,0
"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen﻿",0
eminem - RIHANNA﻿,0
Rihanna looks so beautiful with red hair ;)﻿,0
....subscribe......  ......to my........  .....channel.......﻿,1
She&#39;s so pretty,0
"I really don't understand how this has 600 million views lol. I'm not  hating or anything, it's just confusing. ﻿",0
I'm not a big fan of the song but this video is awesome!﻿,0
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
5 years... ﻿,0
"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿",0
i love this song﻿,0
Love﻿,0
"She's got it all. Incredible voice, extremely hot, nice tits﻿",0
Free my apps get 1m crdits ! Just click on the link and download a app and  done!! · Link: https://m.freemyapps.com/share/url/5af506e1﻿,1
If you are a person that loves real music you should listen to &quot;Cruz Supat&quot;<br />He is awesome as fuck!!! Just as eminem used to be.﻿,0
Check the shit out on my channel<br /><br /><br />SUBSCRIBE YOU WILL LIKE IT﻿,1
Waka best one﻿,0
Check out this video on YouTube:﻿,1
Looooved ﻿,0
This song means so much to me thank you  soooooooooooooooooooooooooooooooooooooooo much:-) Xxx﻿,0
subscribe to my channel people :D﻿,1
wow,0
Love this song! My soccer team made a cd for our couch with this song on it!﻿,0
This song is so AWESOME!!!She made everything stand out and all the viewers  could imagine themselves at the setting of the video. Awesome Job Katy  Perry!!!!﻿,0
I love this song sooooooooooooooo much﻿,0
2015 &lt;3﻿,0
Waka waka﻿,0
"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",0
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0
I shuffled while listening to this song. THE ILLNESS IS SPREADING!!﻿,0
Are those real animals﻿,0
Cool﻿,0
Ah. Good old times (:﻿,0
Every day I&#39;m Shuffling !﻿,0
Anyone else notice that Megan Fox is in this video?﻿,0
Fuck Eminem. Bieber is the best &lt;3﻿,0
best song in world﻿,0
Perfect! &lt;3﻿,0
One of the best song of all the time﻿,0
i like the lyrics but not to music video﻿,0
We need to get this to 1 Billion Views!!﻿,0
when is this gonna hit 2 billion?﻿,0
Come check out our parody of this!﻿,1
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
Katty is the best! ! ! ! ﻿,0
Can somebody wake me up when we get to 3 billion views.﻿,0
Like if you came here too see how many views this song has.﻿,0
Check out this video on YouTube:﻿,1
this fucking song like a&#39;n oreo the only white part is the good 1﻿,0
I'd rather hear some propa explicit gangsta rap insted of this garbage.  This song is trash !﻿,0
this song is better then monster by eminem﻿,0
Like this comment for no reason﻿,1
What does that tattoo on her right tricep say?﻿,0
Love your song makes me happy﻿,0
I really am madly in love with this woman!!﻿,0
Good﻿,0
this song is racist,0
"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0
"hot,hot﻿",0
Katy Perry can't sing for shit. All i hear it autotune.﻿,0
like this comment if you&#39;re watching this video when big bang happened<br />i do﻿,1
the song is sad﻿,0
"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿",1
"do you guys know, there&#39;s a part two of this song! :D﻿",0
https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,1
Great.This is a song﻿,0
My favorite song 💗💗💗💗﻿,0
The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿,0
**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1
Thanks to this video we know that Nokia phones can survive a plane crash.﻿,0
Eminem best rapper all the time﻿,0
song is bad﻿,0
I love eminem  &lt;3﻿,0
Beautiful song beautiful girl it works,0
Its 2015 and still shuffling to this song🎶🎵🎧﻿,0
man check out the raps on my channel im better rapper than these nigger fools﻿,1
I love this song so much﻿,0
"Check out: My Hood Doh, by Flixter Nossnevs﻿",1
The best world cup song ever!!!!﻿,0
The population of world is more than 7 billion﻿,0
I love katty perry﻿,0
Her voice sounds weird and plus she&#39;s cute for a blonde﻿,0
Laughing My Fucking Ass Off!!!﻿,0
I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa,0
She is perfect,0
why the elephant have a broken horn﻿,0
LoL﻿,0
"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿",0
Awesome video this is one of my favorite  songs😀😀😀😀😀😀😀❤️❤️❤️❤️❤️❤️❤️❤️💎💎💎💎💎💄💄💄💄💋💋💋💋﻿,0
"really want this video to get 1 billion views, would be amazing!﻿",0
I learned the shuffle because of them﻿,0
2015!! LLIKEE!!﻿,0
This looks so fun and it's a good song﻿,0
thumb up if you watching in 2015 and  you like it﻿,0
i like and love so much people all friends..... I love Shakira ^^,0
Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,0
Katy perry songs aren't that bad ﻿,0
I came here because of Vanoss.﻿,0
2010? The time past so fast ..﻿,0
"This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿",0
"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",0
i like this song the video goes perfect with it﻿,0
Who is still watching in 2015﻿,0
love﻿,0
What&#39;s with the guys jacket? 1 sleeve and a sleeveless arm﻿,0
1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,0
You can not hate eminem and nirvana...trust me﻿,0
Love you﻿,0
"Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also...",1
I miss this song. 😢﻿,0
she is megan fox?because she is very similar﻿,0
fav.﻿,0
Love the way you lie II is nicer in my opinion. :D﻿,0
wierd but funny﻿,0
is it bad that my realtionship is just like this lol﻿,0
sorry but eminmem is a worthless wife beating bastard﻿,0
This video is kinda close to 1 million  views <br />﻿,0
"I believe that soccer promotes terrorism. Bad choice, Shakira.﻿",0
Why so many disliked??????!!!!!!😯﻿,0
"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
The boyfriend was Charlie from the TV show LOST ﻿,0
Check out this playlist on YouTube:﻿,1
I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,0
cooooooooooooolllllllllll﻿,0
That guy charley of lost TV show﻿,0
Hello. İ am from Azerbaijan<br />﻿,0
"Almost 1 billion views, nice.﻿",0
http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,1
Almost to a billion :)﻿,0
"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿",0
Check out this video on YouTube:﻿,1
"Hey guys, I&#39;m a human.<br /><br /><br />But I don&#39;t want to be a human, I want to be a sexy fucking giraffe.<br /><br /><br />I already have the money for the surgery to elongate my spinal core, the surgery to change my skin pigment, and everything else! Like this post so others can root me on in my dream!!!!<br /><br /><br />Im fucking with you, I make music, check out my first song! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23giraffebruuh"">#giraffebruuh</a>﻿",1
http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,1
Please visit this Website: oldchat.tk,1
i love her﻿,0
I love this sooooooooooooong I love katy perry﻿,0
Katy Perry is lion﻿,0
Love this song makes me wanna dance! ﻿,0
Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,0
BR﻿,0
PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,1
I LOVE YOU!!! Because u make me smile when im sad you cheer me up with your  beautiful songs (: &lt;3﻿,0
I love this shit but I disliked it because it's sucks﻿,0
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0
my son love so much﻿,0
Loves it﻿,0
This has had over 2 billion views.  Holy shit.﻿,0
"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",0
